X,Y,OBJECTID,ENDERECO,NUMERO,photo,tx_bairro
-43.04194000009,-22.9686999989592,191,Francisco da Cruz Nunes,12988,sinalização turística _20170512_131010-880633068.jpg,
-43.0315049997304,-22.9641899988738,192,Itacoatiara,0,sinalização turística _20170512_1311171409481131.jpg,
-43.026840000157,-22.9528249988282,193,RJ-118,6111,sinalização turística _20170512_131250871077967.jpg,
-43.0260583333594,-22.9523883321472,194,Irene Lopes Sodre,32,sinalização turística _20170512_131527-117495914.jpg,
-43.0203066672484,-22.9445083319169,195,Irene Lopes Sodre,900,sinalização turística _20170512_131609776261573.jpg,
-43.0100883335538,-22.9353866661067,196,Irene Lopes Sodre,0,sinalização turística _20170512_131720635053427.jpg,
-43.0099550000311,-22.9353866662632,197,Irene Lopes Sodre,0,foto_sinalização turística _20170516_102010396804034.jpg,
-43.0087783328779,-22.9316599996916,198,Engenho do Mato,1,foto2_sinalização turística _20170516_102145-1930342832.jpg,
-43.0073700004305,-22.9242083322961,199,Engenho do Mato,3962,foto3_sinalização turística _20170516_102908-1203390553.jpg,
-42.9853099997173,-22.9026716658905,200,Av. Plínio Gomes de Matos Filho,15,sinalização turística _20170512_132442-150131446.jpg,
-42.985768333562,-22.9016833319079,201,RJ-108,58,sinalização turística _20170512_132743-1533394356.jpg,
-42.9845966667718,-22.9089333332883,202,Ewerton da Costa Xavier,1,sinalização turística _20170512_1330291349668793.jpg,
-42.9929549998472,-22.9124199989324,203,Ewerton da Costa Xavier,1,sinalização turística _20170512_1331451869587084.jpg,
-43.0081366669442,-22.9246233322285,204,Ewerton da Costa Xavier,4073,sinalização turística _20170512_133256-1887675063.jpg,
-43.0097516664628,-22.9257416656872,205,Ewerton da Costa Xavier,3963,sinalização turística _20170512_133640-909749130.jpg,
-43.0289533333155,-22.9419533321598,206,Ewerton da Costa Xavier,1063,sinalização turística _20170512_1343361448742133.jpg,
-43.0289583329367,-22.9419533319717,207,Ewerton da Costa Xavier,1061,sinalização turística _20170512_134415-1463585663.jpg,
-43.0312916660274,-22.9471616657607,208,Francisco da Cruz Nunes,2505,sinalização turística _20170512_134737-290469264.jpg,
-43.0351133334772,-22.9445416654913,209,Francisco da Cruz Nunes,9321,sinalização turística _20170512_1351261216667518.jpg,
-43.0400249994799,-22.9414216658852,210,Francisco da Cruz Nunes,8585,sinalização turística _20170512_135701170089928.jpg,
-43.0440450001851,-22.9405266657862,211,Francisco da Cruz Nunes,8000,sinalização turística _20170512_135739-1756018416.jpg,
-43.0521749997361,-22.9412199994131,212,Francisco da Cruz Nunes,8800,sinalização turística _20170512_135924-5465803.jpg,
-43.05719499971,-22.9416016662873,213,Francisco da Cruz Nunes,6666,sinalização turística _20170512_140105-1457971118.jpg,
-43.0583933329443,-22.9445716664945,214,Professor Herman Farias Alves,15,sinalização turística _20170512_140150-880633068.jpg,
-43.0679699994106,-22.9546899996142,215,Almirante Tamandare,217,sinalização turística _20170512_1403141409481131.jpg,
-43.0598833335161,-22.9524749987338,216,Professor Antonio Felipe da Rocha,125,sinalização turística _20170512_140554871077967.jpg,
-43.0606366674182,-22.9526749997915,217,Professor Carlos Nelson Ferreira,625,sinalização turística _20170512_1416521244737652.jpg,
-43.0580483332703,-22.9406300001063,218,Francisco da Cruz Nunes,1,sinalização turística _20170512_143040776261573.jpg,
-43.0480533327666,-22.9147399994573,219,Francisco da Cruz Nunes,1287,sinalização turística _20170512_143359635053427.jpg,
-43.0476383333775,-22.9129783320637,220,Francisco da Cruz Nunes,987,sinalização turística _20170512_143819-150131446.jpg,
-43.0631633328245,-22.9076449990152,221,Caetano Monteiro,0,sinalização turística _20170512_144319-2116665127.jpg,
-43.1150144102312,-22.8937382686288,222,Av Amaral Peixoto,887,20170511_142355-577399277.jpg,
-43.1151460596457,-22.8938281991373,223,Av Amaral Peixoto,836,20170511_142041-1094176715.jpg,
-43.115942720244,-22.893783429672,224,Av Amaral Peixoto,707,20170511_1426292033549575.jpg,
-43.1165171697907,-22.8937958589586,225,Av Amaral Peixoto,625,20170511_1429171160238560.jpg,
-43.1171140203446,-22.8937457090259,226,Av Amaral Peixoto,577,20170511_1430541759152823.jpg,
-43.1180603399958,-22.8935538301845,227,Av Amaral Peixoto,577,20170511_143325-2110480782.jpg,
-43.1188873396632,-22.8936555201487,228,Av Amaral Peixoto,347,20170511_143552-532203755.jpg,
-43.1206675295771,-22.893501918703,229,Av Amaral Peixoto,335,20170511_143822-310381216.jpg,
-43.1206718302294,-22.8934672197147,230,Av Amaral Peixoto,335,20170511_143948-1094176715.jpg,
-43.1215650902718,-22.8932214592784,231,Av Amaral Peixoto,206,20170511_144238-577399277.jpg,
-43.1231930698051,-22.8935055694461,232,Av Amaral Peixoto,55,20170511_1446571160238560.jpg,
-43.1241515204062,-22.8892009691277,233,Av Rio Branco,239,20170511_1455041759152823.jpg,
-43.1242105495554,-22.8888148989475,234,Av Rio Branco,360,20170511_145741-2110480782.jpg,
-43.1244770591993,-22.8878252991133,235,Av Rio Branco,165,20170511_150254-532203755.jpg,
-43.1245245398977,-22.8877178494454,236,Av Rio Branco,165,20170511_150427-310381216.jpg,
-43.1227604199681,-22.8882431498983,237,Rua Visconde de Uruguai,274,20170511_151214307529954.jpg,
-43.1240700905324,-22.8884981386405,238,Rua Marques de Caxias,9,20170511_151708-1094176715.jpg,
-43.1246156900549,-22.8885277389368,239,Av Rio Branco,192,20170511_151937-577399277.jpg,
-43.1250059799347,-22.8887226095698,240,Rua Marques de Caxias,0,20170511_1535151160238560.jpg,
-43.1253697598749,-22.8885238887862,241,Rua Sem Nome Prox do antigo carrefour,0,20170511_154852-2110480782.jpg,
-43.125666039809,-22.8872707088368,242,Antigo Carrefour,0,20170511_155127-532203755.jpg,
-43.1259204498609,-22.885955329153,243,Av Professor Plinio Leite,28,20170511_155357-310381216.jpg,
-43.1272185306641,-22.8888461092829,244,Av Professor Plinio Leite,167,20170511_1600161576842574.jpg,
-43.1269397498568,-22.8904309687605,245,Av Professor Plinio Leite,0,20170511_160333-1094176715.jpg,
-43.1241876803379,-22.8961325890497,246,Visconde de Rio Branco,546,20170511_163944-577399277.jpg,
-43.122010319863,-22.8963072389152,247,Quinze de Novembro,90,20170511_1643122033549575.jpg,
-43.1183290299011,-22.8944306896708,248,Conceicao,195,20170511_1652511160238560.jpg,
-43.1119465795661,-22.8993668290598,249,Miguel de Frias,268,20170511_1707041759152823.jpg,
-43.1121095804975,-22.8996366093208,250,Miguel de Frias,268,20170511_170833-2110480782.jpg,
-43.1122236001702,-22.8999457088327,251,Miguel de Frias,245,20170511_171105-532203755.jpg,
-43.1127824599911,-22.9006062691066,252,Miguel de Frias,210,20170511_1713221576842574.jpg,
-43.1129540997144,-22.9008113989644,253,Miguel de Frias,197,20170511_171432307529954.jpg,
